                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.071,                 1.8992,                 1.4527,                0.46992,                0.53409,                0.46814,                0.23768,                 1.4308,                 3.1857,                 2.0495,             0.00065574,             0.00065574,             0.00065574
                      1,                 1.0845,                 1.4567,                 1.4254,                  0.503,                0.60957,                0.54521,                0.31435,                 1.3917,                 2.1794,                 2.1949,              0.0013093,              0.0013093,              0.0013093
                      2,                 1.0818,                 1.3081,                 1.4335,                0.25037,                0.52757,                0.25417,                0.07904,                 2.2842,                 10.661,                 3.1729,              0.0019497,              0.0019497,              0.0019497
                      3,                 1.1303,                 1.2576,                 1.4782,                 0.4921,                0.60227,                0.51461,                0.24878,                 1.6564,                 2.0082,                 2.3056,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.0998,                 1.1073,                 1.4386,                0.59098,                0.54187,                 0.5642,                0.34375,                 1.6057,                 1.4821,                 2.0886,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0328,                 1.0375,                 1.3744,                0.76159,                0.76136,                0.79983,                0.48014,                 1.3549,                 1.3308,                 2.0517,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0509,                 1.0096,                 1.4029,                0.64187,                0.77273,                0.75376,                0.44926,                 1.3805,                 1.2635,                 2.0359,               0.001901,               0.001901,               0.001901
                      7,                 1.0223,                0.92983,                 1.3639,                0.69671,                0.79545,                0.78473,                0.52173,                 1.2275,                 1.0848,                  1.859,              0.0018812,              0.0018812,              0.0018812
                      8,                0.98283,                0.90534,                 1.3448,                0.62669,                  0.625,                0.62796,                0.35991,                 1.5336,                 1.4176,                 2.3497,              0.0018614,              0.0018614,              0.0018614
                      9,                0.94654,                0.86831,                 1.3136,                0.67817,                0.63636,                0.68485,                0.42879,                 1.3857,                 1.2318,                 1.9437,              0.0018416,              0.0018416,              0.0018416
                     10,                0.92498,                0.85107,                 1.2971,                0.80535,                0.84633,                0.85881,                0.56785,                 1.1813,                0.94419,                 1.8257,              0.0018218,              0.0018218,              0.0018218
                     11,                0.95677,                0.84312,                  1.331,                0.79491,                0.79284,                0.80666,                0.55078,                 1.1635,                   1.02,                 1.7844,               0.001802,               0.001802,               0.001802
                     12,                0.93983,                0.83296,                 1.3005,                0.78481,                0.72727,                0.81286,                0.56997,                 1.1399,                0.99552,                 1.7854,              0.0017822,              0.0017822,              0.0017822
                     13,                0.91428,                0.81298,                 1.2898,                0.52834,                0.64919,                0.59027,                0.30554,                 1.4501,                 1.5021,                 2.1124,              0.0017624,              0.0017624,              0.0017624
                     14,                0.92718,                0.82852,                 1.3109,                0.72792,                0.84091,                0.82852,                0.54584,                  1.204,                0.93415,                  1.759,              0.0017426,              0.0017426,              0.0017426
                     15,                0.88519,                0.78011,                 1.2783,                0.64958,                0.71621,                0.73799,                0.43565,                 1.2821,                 1.3133,                 1.8526,              0.0017228,              0.0017228,              0.0017228
                     16,                0.88901,                 0.7465,                 1.2781,                0.71123,                0.86768,                0.82062,                0.52566,                  1.223,                0.99066,                 1.9034,               0.001703,               0.001703,               0.001703
                     17,                0.87284,                0.75221,                 1.2668,                0.80294,                0.83349,                 0.8514,                0.57873,                  1.138,                0.90528,                 1.7387,              0.0016832,              0.0016832,              0.0016832
                     18,                0.84463,                0.70262,                 1.2376,                0.76302,                0.80682,                0.78103,                 0.5347,                 1.1109,                0.99426,                 1.7181,              0.0016634,              0.0016634,              0.0016634
                     19,                0.85719,                0.70219,                 1.2565,                0.73632,                0.81818,                0.81548,                0.55587,                 1.1407,                 1.0292,                 1.6938,              0.0016436,              0.0016436,              0.0016436
                     20,                 0.8392,                0.71071,                 1.2501,                0.72145,                0.86364,                 0.8407,                0.56156,                 1.2319,                0.87868,                 1.8251,              0.0016238,              0.0016238,              0.0016238
                     21,                0.84154,                0.69619,                 1.2438,                0.80071,                0.82185,                0.85671,                0.60417,                 1.0664,                0.99715,                 1.6883,               0.001604,               0.001604,               0.001604
                     22,                0.85204,                0.72342,                 1.2524,                0.75793,                0.86364,                 0.8516,                0.56415,                 1.2256,                 1.0306,                 1.8021,              0.0015842,              0.0015842,              0.0015842
                     23,                0.80782,                0.64276,                 1.2197,                0.72794,                0.92045,                0.84061,                0.56058,                 1.2271,                0.87365,                 1.8584,              0.0015644,              0.0015644,              0.0015644
                     24,                0.82554,                0.64744,                  1.227,                0.71765,                0.86364,                0.81826,                0.53598,                 1.2026,                0.97347,                 1.8018,              0.0015446,              0.0015446,              0.0015446
                     25,                0.77803,                0.63244,                 1.1992,                0.75541,                0.89773,                0.87119,                 0.5966,                 1.0698,                0.82249,                 1.6133,              0.0015248,              0.0015248,              0.0015248
                     26,                0.79235,                0.64968,                 1.2148,                0.79327,                0.89773,                0.84454,                0.59749,                  1.043,                0.82092,                 1.6628,               0.001505,               0.001505,               0.001505
                     27,                0.76895,                0.62132,                  1.187,                0.80481,                0.93182,                0.91557,                  0.658,                0.98856,                0.71164,                 1.5241,              0.0014852,              0.0014852,              0.0014852
                     28,                0.78108,                0.63224,                 1.2025,                0.82987,                0.86364,                0.85046,                0.58224,                 1.0931,                0.81181,                 1.6779,              0.0014654,              0.0014654,              0.0014654
                     29,                0.75793,                0.59902,                 1.1849,                 0.7924,                0.88636,                0.87685,                0.62353,                 1.0806,                0.74622,                  1.685,              0.0014456,              0.0014456,              0.0014456
                     30,                0.76733,                0.61242,                 1.1867,                0.73815,                0.89697,                0.87646,                0.63174,                 1.0402,                 0.7616,                 1.6114,              0.0014258,              0.0014258,              0.0014258
                     31,                0.75054,                0.59382,                 1.1671,                0.83889,                0.81818,                0.84807,                0.59668,                 1.1046,                0.78338,                   1.66,               0.001406,               0.001406,               0.001406
                     32,                0.75573,                0.62021,                 1.1854,                0.80483,                0.81818,                0.82851,                0.60846,                0.99381,                0.78582,                 1.6359,              0.0013862,              0.0013862,              0.0013862
                     33,                0.75075,                0.60266,                 1.1741,                0.76188,                0.86364,                0.87901,                0.62551,                 1.0371,                0.81416,                 1.5994,              0.0013664,              0.0013664,              0.0013664
                     34,                0.73507,                0.59326,                 1.1628,                0.74806,                0.84354,                0.84302,                0.57839,                 1.0558,                0.83326,                 1.6294,              0.0013466,              0.0013466,              0.0013466
                     35,                0.73619,                0.57991,                 1.1637,                0.77756,                0.75477,                0.84627,                0.57668,                 1.1262,                0.92684,                  1.731,              0.0013268,              0.0013268,              0.0013268
                     36,                0.71389,                0.56064,                 1.1526,                0.78759,                0.92701,                0.87837,                0.61001,                 1.0288,                0.80085,                 1.6959,               0.001307,               0.001307,               0.001307
                     37,                0.71508,                0.58216,                 1.1637,                0.72506,                0.89773,                0.79727,                0.54719,                 1.1325,                0.91661,                 1.7423,              0.0012872,              0.0012872,              0.0012872
                     38,                0.71373,                0.56076,                 1.1471,                0.77494,                0.84091,                0.84989,                0.58813,                 1.0809,                 0.8945,                 1.6719,              0.0012674,              0.0012674,              0.0012674
                     39,                0.69893,                0.53779,                  1.134,                0.80771,                0.85227,                0.84942,                0.62082,                 1.0419,                 0.8058,                 1.6585,              0.0012476,              0.0012476,              0.0012476
                     40,                0.70566,                0.56327,                 1.1436,                0.79935,                0.90544,                0.85997,                0.62615,                 1.0678,                0.79609,                 1.6335,              0.0012278,              0.0012278,              0.0012278
