                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.70801,                0.54072,                 1.1537,                0.73865,                0.88636,                0.83823,                0.55944,                 1.1915,                0.89412,                 1.8153,               0.001208,               0.001208,               0.001208
                     42,                0.70323,                0.52455,                 1.1471,                0.80245,                0.86364,                0.85653,                0.57986,                  1.091,                0.80243,                 1.6559,              0.0011882,              0.0011882,              0.0011882
                     43,                0.67238,                0.51684,                 1.1314,                0.80973,                0.78409,                0.82708,                0.57778,                 1.0854,                0.81355,                 1.7191,              0.0011684,              0.0011684,              0.0011684
                     44,                0.67981,                0.52475,                 1.1259,                0.76563,                0.90909,                0.84051,                0.60111,                 1.0585,                0.79056,                 1.6838,              0.0011486,              0.0011486,              0.0011486
                     45,                0.67936,                0.52315,                 1.1438,                0.73869,                0.84091,                0.85487,                 0.6436,                0.96905,                0.80712,                 1.5243,              0.0011288,              0.0011288,              0.0011288
                     46,                0.67128,                 0.5035,                 1.1338,                0.81973,                0.86364,                0.86171,                0.60547,                 1.0415,                0.81054,                 1.6463,               0.001109,               0.001109,               0.001109
                     47,                0.67233,                 0.5012,                 1.1198,                0.73793,                0.82955,                0.84317,                0.60852,                 1.0709,                0.82053,                 1.6391,              0.0010892,              0.0010892,              0.0010892
                     48,                0.66056,                0.49942,                 1.1144,                0.72874,                0.84091,                0.82511,                0.56106,                  1.069,                0.87225,                 1.6121,              0.0010694,              0.0010694,              0.0010694
                     49,                0.65041,                0.49053,                 1.1153,                0.78084,                0.86364,                0.85402,                0.63264,                0.96066,                0.73394,                 1.5551,              0.0010496,              0.0010496,              0.0010496
                     50,                0.66315,                  0.508,                 1.1245,                  0.758,                0.81863,                0.81431,                0.54434,                 1.1124,                0.86499,                 1.6822,              0.0010298,              0.0010298,              0.0010298
                     51,                0.63655,                0.48953,                 1.1115,                0.85064,                0.85227,                0.88016,                0.64523,                 1.0122,                0.73851,                 1.5983,                0.00101,                0.00101,                0.00101
                     52,                0.63475,                0.47692,                 1.0971,                0.83653,                0.78409,                0.86522,                0.65153,                0.96307,                0.74263,                 1.5705,              0.0009902,              0.0009902,              0.0009902
                     53,                0.61731,                0.45192,                 1.0971,                0.82992,                0.88719,                 0.8927,                0.66508,                0.98052,                 0.7271,                 1.5673,              0.0009704,              0.0009704,              0.0009704
                     54,                0.63355,                0.46453,                 1.1002,                0.70842,                0.93182,                0.87121,                0.62778,                 1.0268,                0.78818,                 1.6027,              0.0009506,              0.0009506,              0.0009506
                     55,                0.61703,                0.45677,                 1.0901,                 0.7237,                0.94318,                0.84328,                0.61151,                0.99215,                0.75686,                 1.5922,              0.0009308,              0.0009308,              0.0009308
                     56,                0.61608,                0.46614,                  1.097,                0.82631,                0.84091,                0.88473,                0.67027,                0.94771,                0.71126,                  1.544,               0.000911,               0.000911,               0.000911
                     57,                0.59798,                0.44758,                 1.0841,                0.78274,                0.84091,                0.82447,                 0.5877,                 1.0485,                0.84107,                 1.6536,              0.0008912,              0.0008912,              0.0008912
                     58,                0.61422,                0.45513,                 1.0851,                0.75317,                0.86364,                0.83345,                0.63091,                 1.0099,                0.85873,                 1.6088,              0.0008714,              0.0008714,              0.0008714
                     59,                0.60115,                0.42669,                 1.0844,                0.77872,                0.83981,                0.82347,                0.61499,                 0.9866,                  0.825,                 1.6328,              0.0008516,              0.0008516,              0.0008516
                     60,                0.59445,                0.43525,                 1.0738,                0.76574,                0.81722,                0.83747,                0.60941,                 1.0144,                0.85082,                 1.5775,              0.0008318,              0.0008318,              0.0008318
                     61,                0.60257,                0.43362,                 1.0777,                0.76184,                0.89773,                0.86755,                0.61621,                0.99461,                0.79418,                 1.6246,               0.000812,               0.000812,               0.000812
                     62,                0.60219,                 0.4516,                 1.0731,                0.73953,                0.86364,                0.79986,                0.58503,                0.94583,                 0.8004,                 1.5895,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.5926,                0.43326,                 1.0751,                0.74408,                0.89208,                0.85542,                 0.6683,                0.93149,                0.77125,                 1.5593,              0.0007724,              0.0007724,              0.0007724
                     64,                0.57176,                0.42097,                 1.0556,                0.77261,                0.88803,                0.86079,                0.65491,                0.97945,                0.72389,                 1.6048,              0.0007526,              0.0007526,              0.0007526
                     65,                0.56608,                0.41909,                 1.0579,                0.77661,                0.92045,                0.84071,                0.62809,                0.97447,                0.72418,                 1.5741,              0.0007328,              0.0007328,              0.0007328
                     66,                0.55586,                0.41679,                 1.0556,                0.72285,                  0.875,                0.83863,                0.64377,                0.92239,                0.79347,                 1.5224,               0.000713,               0.000713,               0.000713
                     67,                0.57036,                0.42338,                 1.0691,                0.76871,                0.86364,                0.84891,                0.64429,                0.96722,                 0.7918,                 1.5489,              0.0006932,              0.0006932,              0.0006932
                     68,                0.56406,                0.41125,                 1.0554,                0.76167,                0.90794,                0.84306,                0.64471,                0.86122,                0.80253,                  1.482,              0.0006734,              0.0006734,              0.0006734
                     69,                0.55572,                0.39768,                 1.0522,                0.74223,                0.79545,                0.81391,                0.64086,                0.89405,                0.87893,                 1.5127,              0.0006536,              0.0006536,              0.0006536
                     70,                0.54905,                0.40405,                 1.0482,                 0.7203,                 0.9072,                0.83489,                0.64769,                0.91873,                0.78501,                 1.5353,              0.0006338,              0.0006338,              0.0006338
                     71,                0.54985,                0.40371,                 1.0541,                0.73673,                 0.8904,                0.85082,                0.67559,                0.91337,                0.81935,                 1.5317,               0.000614,               0.000614,               0.000614
                     72,                 0.5421,                0.39897,                 1.0441,                0.79733,                0.81818,                0.88002,                 0.6913,                0.92574,                0.76088,                 1.5129,              0.0005942,              0.0005942,              0.0005942
                     73,                0.55157,                0.39247,                 1.0452,                0.78328,                0.90909,                0.85332,                0.65274,                0.92649,                0.76084,                   1.56,              0.0005744,              0.0005744,              0.0005744
                     74,                0.52455,                0.39063,                 1.0432,                0.74536,                0.84091,                0.85306,                 0.6463,                0.99868,                0.81861,                 1.5844,              0.0005546,              0.0005546,              0.0005546
                     75,                0.51155,                 0.3789,                 1.0309,                0.74449,                  0.894,                 0.8359,                0.67072,                0.87857,                0.77785,                 1.4669,              0.0005348,              0.0005348,              0.0005348
                     76,                0.49882,                0.36685,                 1.0264,                0.76252,                0.88636,                0.86203,                0.67536,                0.93663,                0.77062,                 1.5505,               0.000515,               0.000515,               0.000515
                     77,                0.51177,                0.37581,                 1.0318,                0.75239,                  0.875,                0.87643,                  0.679,                0.97223,                0.75818,                 1.6083,              0.0004952,              0.0004952,              0.0004952
                     78,                0.52412,                0.38013,                 1.0444,                0.76751,                0.82534,                0.85293,                 0.6681,                0.95233,                0.79837,                 1.6011,              0.0004754,              0.0004754,              0.0004754
                     79,                0.49605,                0.36417,                 1.0215,                0.72464,                0.89715,                0.85091,                0.65029,                0.97561,                 0.7571,                 1.6841,              0.0004556,              0.0004556,              0.0004556
                     80,                0.51717,                 0.3794,                  1.033,                0.79702,                0.78409,                0.79861,                 0.6228,                0.98004,                0.82763,                 1.6255,              0.0004358,              0.0004358,              0.0004358
                     81,                0.50263,                0.35522,                 1.0247,                0.74523,                  0.875,                0.82897,                0.64523,                 0.9527,                0.77818,                 1.6235,               0.000416,               0.000416,               0.000416
                     82,                 0.4777,                0.34902,                 1.0138,                0.80493,                0.89097,                 0.8626,                0.64935,                0.96378,                0.75707,                 1.6417,              0.0003962,              0.0003962,              0.0003962
                     83,                0.48787,                0.35264,                 1.0104,                 0.7978,                0.86364,                0.86829,                0.66747,                 0.9509,                0.75204,                 1.5857,              0.0003764,              0.0003764,              0.0003764
                     84,                0.48201,                0.35548,                  1.018,                0.78752,                0.89773,                0.83929,                 0.6464,                0.92328,                0.72785,                 1.5947,              0.0003566,              0.0003566,              0.0003566
                     85,                0.47931,                0.34309,                  1.003,                0.76461,                0.86364,                0.84468,                0.67108,                0.91778,                0.77052,                 1.5794,              0.0003368,              0.0003368,              0.0003368
                     86,                0.48484,                0.35977,                  1.014,                0.75156,                0.85945,                0.83564,                0.66249,                0.92314,                0.76959,                 1.5991,               0.000317,               0.000317,               0.000317
                     87,                0.47452,                0.34708,                 1.0114,                  0.736,                0.88636,                0.80651,                0.64101,                0.93471,                0.75482,                 1.6414,              0.0002972,              0.0002972,              0.0002972
                     88,                0.45777,                0.33878,                 1.0031,                0.72213,                0.89773,                0.80484,                0.62178,                0.94061,                 0.7883,                 1.6021,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.4674,                0.33996,                0.99914,                0.78289,                0.82955,                0.82777,                0.63112,                0.96106,                0.78405,                 1.6416,              0.0002576,              0.0002576,              0.0002576
                     90,                0.46056,                0.33007,                 1.0049,                0.75037,                0.89773,                0.82382,                 0.6413,                0.94866,                0.79838,                 1.6788,              0.0002378,              0.0002378,              0.0002378
                     91,                0.45006,                0.32474,                0.99676,                0.74232,                0.92045,                0.82393,                0.64956,                 0.9477,                0.78174,                 1.6509,               0.000218,               0.000218,               0.000218
                     92,                0.43967,                0.32527,                0.99593,                0.73965,                0.92045,                0.84947,                0.66517,                 0.9446,                0.76903,                 1.6344,              0.0001982,              0.0001982,              0.0001982
                     93,                0.44799,                0.32594,                 0.9988,                0.75448,                0.87302,                 0.8335,                 0.6562,                 0.9417,                0.79615,                 1.6174,              0.0001784,              0.0001784,              0.0001784
                     94,                0.43925,                0.32585,                0.99337,                0.72864,                0.89773,                 0.8004,                0.63529,                0.89512,                0.81758,                 1.5942,              0.0001586,              0.0001586,              0.0001586
                     95,                0.43224,                0.31754,                0.99146,                0.77736,                  0.875,                0.81329,                0.63764,                0.92165,                0.80342,                 1.6018,              0.0001388,              0.0001388,              0.0001388
                     96,                0.42898,                0.32133,                0.98447,                0.76824,                0.86638,                0.81799,                0.64805,                0.88352,                0.81306,                 1.5414,               0.000119,               0.000119,               0.000119
                     97,                0.42888,                0.31742,                0.99208,                0.74756,                0.87492,                0.81702,                0.65089,                0.89784,                0.80394,                 1.5967,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.42913,                0.31554,                0.98856,                0.76906,                0.85227,                0.83451,                0.66396,                0.90121,                0.77573,                 1.5996,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.42803,                0.31562,                 1.0003,                0.75958,                0.88636,                0.84224,                0.65463,                0.91301,                0.78397,                 1.6159,               5.96e-05,               5.96e-05,               5.96e-05
