                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3433,                 1.1459,                  1.788,                0.88322,                0.74014,                0.90718,                0.63176,                 1.1219,                0.99397,                 1.7816,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3008,                  1.144,                 1.7689,                 0.8367,                0.89297,                0.93756,                0.63782,                 1.1224,                 1.0121,                 1.7814,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.265,                 1.1241,                 1.7234,                0.80976,                0.74195,                0.84265,                0.52538,                 1.2758,                 1.2283,                 1.9567,               0.001307,               0.001307,               0.001307
                     37,                 1.2372,                 1.1186,                 1.7012,                0.81423,                 0.8685,                0.89691,                0.62536,                 1.1054,                 1.0018,                  1.803,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2418,                 1.0639,                  1.696,                0.78551,                0.81651,                0.88804,                0.62214,                 1.0754,                 0.9959,                  1.766,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2268,                 1.0602,                  1.655,                0.90265,                0.85071,                0.94362,                0.67795,                 1.0394,                0.92902,                 1.7224,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1432,                 1.0322,                 1.6294,                0.83395,                0.84471,                0.91979,                0.67399,                 1.0216,                0.89699,                 1.6987,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1885,                 1.0127,                 1.6726,                0.89741,                0.89297,                0.95133,                0.69856,                0.98064,                0.83758,                 1.6654,               0.001208,               0.001208,               0.001208
                     42,                 1.2189,                 1.0281,                 1.6754,                0.88057,                 0.8685,                0.95305,                0.69784,                0.97028,                0.82644,                 1.6368,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2148,                0.99672,                  1.649,                0.90143,                0.89489,                0.95577,                0.69986,                 0.9488,                0.83062,                 1.6085,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1465,                0.94271,                 1.6155,                0.84366,                0.88073,                0.93938,                0.67686,                0.99667,                0.84268,                 1.6581,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1409,                0.93128,                 1.6329,                0.90933,                0.88937,                0.96381,                0.65958,                 1.1448,                0.83509,                 1.8292,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.142,                0.92817,                  1.624,                 0.9237,                0.87768,                0.95838,                0.67725,                 1.0609,                0.84332,                 1.7364,               0.001109,               0.001109,               0.001109
                     47,                 1.1539,                0.94804,                 1.6513,                0.92954,                0.88759,                0.97262,                0.73052,                0.94797,                0.74505,                 1.6098,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1433,                0.91139,                 1.6298,                0.93542,                0.88597,                0.95887,                0.67762,                 1.0865,                 0.8019,                 1.7045,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.146,                0.90114,                 1.6109,                0.93198,                0.92355,                0.97525,                0.74054,                0.87175,                0.71559,                 1.5273,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0888,                0.90377,                 1.5647,                0.88674,                0.81403,                0.91756,                0.65025,                 1.0043,                0.91497,                 1.6635,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0719,                0.84416,                 1.5334,                0.91826,                0.93272,                0.97853,                0.72176,                0.96632,                0.69172,                 1.6176,                0.00101,                0.00101,                0.00101
                     52,                  1.063,                0.85225,                 1.5425,                0.88861,                0.90826,                0.96188,                0.72365,                0.91482,                0.73916,                 1.5883,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0758,                0.86322,                 1.5479,                0.86954,                0.88073,                0.93012,                0.67811,                 1.0208,                0.83613,                 1.6525,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0534,                0.84089,                 1.5226,                0.94869,                0.90463,                0.97858,                0.75876,                0.88043,                 0.6847,                 1.5176,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0486,                0.81178,                 1.5246,                0.89242,                0.92049,                0.97371,                0.75078,                0.88134,                0.69033,                 1.5283,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0202,                0.82238,                 1.5057,                0.89772,                 0.9394,                0.97072,                0.73418,                0.93221,                0.71954,                 1.5765,               0.000911,               0.000911,               0.000911
                     57,                 1.0465,                0.82225,                 1.4894,                0.96892,                0.95337,                0.98583,                 0.7827,                0.82918,                 0.6037,                 1.4577,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0715,                0.83252,                 1.5298,                0.95455,                0.90826,                0.98021,                0.76291,                0.88269,                0.63269,                 1.5037,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0029,                0.77916,                 1.5046,                0.92129,                0.92966,                0.97748,                0.76633,                0.83776,                0.66305,                 1.4799,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0025,                 0.7781,                 1.4667,                0.93685,                0.95279,                0.98613,                0.77998,                 0.8245,                0.64461,                 1.4528,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0272,                0.77027,                 1.5042,                0.95945,                0.92966,                0.98638,                0.78613,                0.81553,                0.59336,                 1.4298,               0.000812,               0.000812,               0.000812
                     62,                 1.0153,                 0.7786,                 1.4969,                0.94174,                0.93578,                 0.9817,                0.76353,                0.86221,                0.65679,                 1.4578,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0008,                0.75367,                 1.4847,                0.94873,                0.96204,                 0.9886,                0.80338,                0.79772,                0.58365,                 1.3971,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0385,                0.78462,                 1.5253,                0.96494,                0.95719,                0.98943,                0.78346,                0.83916,                0.57355,                 1.4604,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0191,                0.75237,                 1.4925,                0.95152,                0.95413,                0.98848,                0.78087,                0.80576,                0.56454,                  1.452,              0.0007328,              0.0007328,              0.0007328
                     66,                0.99759,                0.76255,                   1.47,                0.95072,                  0.944,                0.98644,                0.77016,                0.83025,                0.59446,                 1.4647,               0.000713,               0.000713,               0.000713
                     67,                0.99123,                0.75106,                 1.4571,                0.93931,                0.94662,                0.97761,                0.77493,                0.81414,                0.59996,                 1.4571,              0.0006932,              0.0006932,              0.0006932
                     68,                0.95399,                0.71385,                 1.4561,                0.98463,                0.97859,                0.99344,                0.79171,                0.80384,                 0.5228,                 1.4195,              0.0006734,              0.0006734,              0.0006734
                     69,                0.94502,                0.72432,                 1.4414,                0.95105,                 0.9633,                0.99023,                0.76948,                0.85878,                0.57467,                 1.4604,              0.0006536,              0.0006536,              0.0006536
                     70,                0.96792,                0.71266,                 1.4402,                0.96014,                0.95769,                0.98907,                0.79501,                0.78002,                0.53653,                 1.3993,              0.0006338,              0.0006338,              0.0006338
                     71,                0.96886,                0.70782,                 1.4477,                0.95591,                0.97554,                0.99086,                0.80891,                0.74012,                0.52799,                 1.3642,               0.000614,               0.000614,               0.000614
                     72,                0.92827,                0.67499,                  1.422,                0.96818,                0.97554,                0.99375,                 0.8021,                0.77679,                0.53433,                 1.4023,              0.0005942,              0.0005942,              0.0005942
                     73,                0.94336,                0.70062,                 1.4356,                0.93646,                0.97859,                0.99033,                0.80502,                 0.7595,                0.53169,                 1.3697,              0.0005744,              0.0005744,              0.0005744
                     74,                0.90205,                0.65855,                 1.3839,                0.98404,                0.95413,                 0.9932,                0.82181,                0.73094,                 0.4905,                 1.3544,              0.0005546,              0.0005546,              0.0005546
                     75,                0.95438,                0.68947,                 1.4363,                0.94932,                0.95719,                0.98749,                0.79852,                0.78303,                0.51709,                 1.3786,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.9424,                 0.6817,                 1.4135,                0.96196,                0.97248,                0.99086,                0.81899,                0.74229,                0.49218,                 1.3461,               0.000515,               0.000515,               0.000515
                     77,                 0.9205,                0.66666,                 1.4045,                0.98149,                0.97304,                 0.9934,                0.82381,                0.72432,                0.48386,                 1.3373,              0.0004952,              0.0004952,              0.0004952
                     78,                0.92343,                0.64769,                 1.3969,                0.98457,                0.97554,                0.99396,                0.83785,                0.69387,                0.47649,                 1.3175,              0.0004754,              0.0004754,              0.0004754
                     79,                0.91582,                0.66983,                 1.4027,                0.99678,                 0.9455,                0.99308,                0.83546,                0.70163,                0.47287,                 1.3085,              0.0004556,              0.0004556,              0.0004556
                     80,                0.88674,                0.62694,                 1.3822,                0.98067,                0.96942,                 0.9929,                0.82182,                0.72998,                0.47447,                 1.3515,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.9115,                0.64335,                 1.3861,                0.97285,                0.98639,                0.99324,                0.84535,                0.67368,                0.45132,                 1.2786,               0.000416,               0.000416,               0.000416
                     82,                0.90663,                 0.6572,                 1.3921,                0.98174,                0.98669,                0.99407,                0.84846,                0.66433,                0.44112,                  1.261,              0.0003962,              0.0003962,              0.0003962
                     83,                0.90819,                0.66617,                 1.3922,                0.97543,                0.98165,                0.99376,                0.84742,                 0.6489,                0.45829,                 1.2577,              0.0003764,              0.0003764,              0.0003764
                     84,                0.89367,                0.63853,                 1.3856,                0.97865,                0.98123,                0.99364,                0.83014,                0.69662,                0.47524,                 1.3039,              0.0003566,              0.0003566,              0.0003566
                     85,                0.87439,                0.64276,                 1.3697,                  0.973,                0.99175,                0.99438,                0.84573,                0.65183,                0.45322,                 1.2585,              0.0003368,              0.0003368,              0.0003368
                     86,                0.86288,                0.63015,                  1.355,                0.98885,                0.98471,                0.99442,                0.82866,                0.71236,                0.46351,                 1.2939,               0.000317,               0.000317,               0.000317
                     87,                0.85833,                0.63069,                 1.3617,                0.97996,                0.99694,                0.99444,                0.84523,                0.65903,                0.45192,                 1.2808,              0.0002972,              0.0002972,              0.0002972
                     88,                0.88262,                  0.661,                 1.3813,                0.97874,                      1,                0.99472,                0.83679,                0.66814,                 0.4494,                 1.2766,              0.0002774,              0.0002774,              0.0002774
                     89,                 0.8543,                0.61187,                 1.3587,                0.98309,                0.99388,                0.99476,                0.83748,                0.67059,                0.44271,                 1.2744,              0.0002576,              0.0002576,              0.0002576
                     90,                0.83401,                0.58199,                 1.3325,                0.97597,                0.99372,                 0.9942,                 0.8577,                0.63547,                0.43751,                 1.2511,              0.0002378,              0.0002378,              0.0002378
                     91,                0.85437,                0.60135,                 1.3323,                0.97586,                0.98919,                0.99426,                0.84266,                0.66444,                0.44038,                 1.2658,               0.000218,               0.000218,               0.000218
                     92,                0.85652,                0.63611,                 1.3537,                 0.9914,                0.98165,                0.99463,                0.86107,                0.62394,                0.42626,                 1.2251,              0.0001982,              0.0001982,              0.0001982
                     93,                0.86188,                0.62644,                 1.3705,                0.97623,                0.99083,                0.99451,                0.85533,                0.62269,                0.42376,                 1.2247,              0.0001784,              0.0001784,              0.0001784
                     94,                0.82373,                0.60686,                 1.3207,                0.97745,                0.99694,                0.99463,                0.84403,                  0.662,                0.43594,                 1.2592,              0.0001586,              0.0001586,              0.0001586
                     95,                0.86877,                0.60731,                  1.355,                  0.979,                0.99816,                0.99463,                0.85594,                0.62903,                0.43012,                 1.2401,              0.0001388,              0.0001388,              0.0001388
                     96,                0.83295,                0.59712,                 1.3359,                 0.9863,                0.98471,                0.99464,                0.85666,                0.62097,                0.41981,                 1.2318,               0.000119,               0.000119,               0.000119
                     97,                0.82637,                0.61242,                 1.3488,                0.99379,                0.97865,                0.99485,                0.85585,                0.62124,                0.41299,                 1.2305,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.83839,                0.60572,                 1.3507,                0.99692,                0.99031,                0.99497,                0.85537,                0.62556,                0.41128,                 1.2358,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.82615,                0.58615,                  1.325,                0.99269,                0.99083,                0.99497,                0.85835,                 0.6105,                0.40931,                 1.2232,               5.96e-05,               5.96e-05,               5.96e-05
