                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98211,                 2.0881,                 1.4842,                0.50375,                0.48372,                0.46762,                0.24426,                  1.422,                 2.5076,                 2.2372,             0.00047456,             0.00047456,             0.00047456
                      1,                  1.031,                 1.5693,                  1.516,                 0.4531,                0.49299,                0.46117,                0.21617,                 1.8432,                 2.1747,                 2.8661,             0.00094148,             0.00094148,             0.00094148
                      2,                 1.0342,                 1.4248,                 1.5129,                0.48557,                0.54317,                0.49585,                0.25186,                 1.7531,                 1.8101,                 2.6167,               0.001399,               0.001399,               0.001399
                      3,                 1.0058,                 1.3356,                 1.4946,                0.61593,                0.60178,                0.60961,                0.33871,                 1.4067,                 1.5313,                 2.1911,              0.0013866,              0.0013866,              0.0013866
                      4,                0.98564,                  1.287,                 1.4764,                0.68542,                0.62403,                 0.6612,                0.40801,                 1.3106,                 1.4249,                 1.9297,              0.0013866,              0.0013866,              0.0013866
                      5,                0.95122,                 1.2067,                 1.4513,                0.64174,                0.67255,                0.68034,                0.42486,                 1.2228,                  1.261,                 1.8694,              0.0013724,              0.0013724,              0.0013724
                      6,                0.92299,                 1.1589,                 1.4259,                0.69384,                0.63296,                0.68723,                0.43484,                 1.3278,                 1.3385,                 1.9869,              0.0013583,              0.0013583,              0.0013583
                      7,                0.89072,                 1.1138,                 1.4028,                0.71567,                0.65623,                0.70103,                0.43722,                 1.2907,                 1.2681,                 1.9029,              0.0013441,              0.0013441,              0.0013441
                      8,                0.87221,                 1.0969,                  1.389,                0.74129,                0.68205,                0.71749,                0.45412,                 1.2366,                 1.2668,                 1.9284,                0.00133,                0.00133,                0.00133
                      9,                0.85075,                 1.0564,                 1.3724,                0.74688,                0.65045,                0.72116,                0.45156,                 1.2867,                 1.2909,                 1.9301,              0.0013158,              0.0013158,              0.0013158
                     10,                0.83494,                 1.0297,                 1.3526,                0.79791,                 0.6643,                0.74506,                0.47581,                 1.2428,                 1.0756,                 1.8885,              0.0013017,              0.0013017,              0.0013017
                     11,                0.82891,                0.99873,                 1.3512,                0.69375,                0.72115,                0.72072,                0.47398,                 1.1762,                 1.1521,                 1.7795,              0.0012875,              0.0012875,              0.0012875
                     12,                0.80525,                0.97758,                 1.3341,                0.74948,                 0.7324,                0.76512,                0.53244,                 1.1219,                 1.0095,                 1.7541,              0.0012734,              0.0012734,              0.0012734
                     13,                0.81257,                0.95961,                 1.3371,                0.71035,                0.75447,                0.76728,                0.52877,                 1.0856,                 1.0279,                 1.7074,              0.0012592,              0.0012592,              0.0012592
                     14,                0.79604,                0.96713,                 1.3218,                0.72642,                 0.6837,                0.72856,                 0.5053,                 1.0822,                 1.0832,                 1.7031,              0.0012451,              0.0012451,              0.0012451
                     15,                0.79755,                0.95414,                 1.3239,                0.72296,                 0.7211,                0.76478,                0.54621,                 1.0623,                 1.0078,                  1.665,              0.0012309,              0.0012309,              0.0012309
                     16,                0.78081,                0.93376,                 1.3207,                0.76216,                0.73653,                0.78284,                0.55653,                 1.0275,                0.95548,                  1.623,              0.0012168,              0.0012168,              0.0012168
                     17,                0.75958,                0.91369,                  1.306,                0.67929,                0.69088,                 0.7056,                0.51179,                  1.036,                 1.0751,                 1.6484,              0.0012026,              0.0012026,              0.0012026
                     18,                0.75142,                0.88201,                 1.2913,                0.72597,                0.76734,                0.76968,                0.55402,                 1.0257,                0.94833,                 1.6495,              0.0011885,              0.0011885,              0.0011885
                     19,                0.74807,                0.88935,                 1.2907,                0.77785,                0.71788,                 0.7777,                0.57665,                0.95157,                0.93731,                 1.5436,              0.0011744,              0.0011744,              0.0011744
                     20,                0.73451,                0.85543,                 1.2765,                 0.7425,                0.76012,                0.77616,                0.57383,                0.97074,                0.96438,                 1.5588,              0.0011602,              0.0011602,              0.0011602
                     21,                0.72757,                0.86242,                 1.2729,                0.78379,                0.69137,                0.75778,                0.56778,                 0.9826,                 1.0008,                 1.5575,              0.0011461,              0.0011461,              0.0011461
                     22,                0.71273,                0.83853,                  1.269,                0.74485,                0.75854,                0.77722,                0.58458,                0.92851,                0.89305,                  1.531,              0.0011319,              0.0011319,              0.0011319
                     23,                0.70416,                0.82636,                 1.2555,                0.75811,                0.76422,                0.77277,                0.57073,                0.93271,                 0.9347,                 1.5376,              0.0011178,              0.0011178,              0.0011178
                     24,                0.70363,                 0.8109,                 1.2527,                0.77168,                0.72374,                0.77716,                0.58714,                0.94599,                0.92503,                 1.5456,              0.0011036,              0.0011036,              0.0011036
                     25,                0.70318,                0.82473,                 1.2569,                0.75065,                0.78601,                0.75326,                0.56236,                0.94937,                0.91894,                 1.5446,              0.0010895,              0.0010895,              0.0010895
                     26,                0.70155,                0.81197,                 1.2608,                0.75636,                 0.7634,                0.78349,                0.57775,                0.94159,                0.86092,                 1.5335,              0.0010753,              0.0010753,              0.0010753
                     27,                0.68403,                0.79374,                  1.237,                0.77813,                0.79256,                0.80722,                0.61434,                0.90516,                0.78485,                 1.4724,              0.0010612,              0.0010612,              0.0010612
                     28,                 0.6831,                0.78334,                 1.2429,                0.75617,                0.77168,                0.78645,                 0.5896,                 0.9579,                 0.9384,                 1.5503,               0.001047,               0.001047,               0.001047
                     29,                0.66807,                0.78925,                 1.2208,                0.79114,                0.77578,                0.80316,                0.61395,                0.90218,                0.79978,                 1.4802,              0.0010329,              0.0010329,              0.0010329
                     30,                0.67225,                0.76804,                 1.2323,                0.73874,                0.76944,                0.79474,                0.61044,                0.86106,                0.86669,                 1.4455,              0.0010187,              0.0010187,              0.0010187
                     31,                0.68282,                0.78516,                  1.236,                0.80017,                0.75281,                0.79815,                0.60771,                0.93141,                0.84625,                 1.5018,              0.0010046,              0.0010046,              0.0010046
                     32,                0.66928,                0.77218,                  1.227,                0.77499,                0.77499,                0.80576,                 0.6011,                0.92357,                0.81391,                 1.4959,             0.00099044,             0.00099044,             0.00099044
                     33,                0.65067,                0.75173,                  1.212,                0.77798,                0.77627,                 0.8082,                0.62087,                0.86909,                0.80523,                 1.4539,             0.00097629,             0.00097629,             0.00097629
                     34,                0.65746,                0.75677,                 1.2267,                0.80733,                0.71881,                 0.7893,                0.61329,                0.86672,                0.83199,                 1.4331,             0.00096215,             0.00096215,             0.00096215
